time,latency,host
2026-01-02T05:55:00Z,112.5,web-2
2026-01-02T06:00:00Z,116.3,web-1
2026-01-02T06:05:00Z,120.0,web-2
2026-01-02T06:10:00Z,122.3,web-1
2026-01-02T06:15:00Z,122.7,web-2
2026-01-02T06:20:00Z,121.6,web-1
2026-01-02T06:25:00Z,120.1,web-2
2026-01-02T06:30:00Z,119.5,web-1
2026-01-02T06:35:00Z,120.6,web-2
2026-01-02T06:40:00Z,123.5,web-1
2026-01-02T06:45:00Z,127.4,web-2
2026-01-02T06:50:00Z,130.9,web-1
2026-01-02T06:55:00Z,132.9,web-2
2026-01-02T07:00:00Z,133.0,web-1
2026-01-02T07:05:00Z,131.5,web-2
2026-01-02T07:10:00Z,129.6,web-1
2026-01-02T07:15:00Z,128.6,web-2
2026-01-02T07:20:00Z,129.2,web-1
2026-01-02T07:25:00Z,131.6,web-2
2026-01-02T07:30:00Z,134.7,web-1
2026-01-02T07:35:00Z,137.5,web-2
2026-01-02T07:40:00Z,138.7,web-1
2026-01-02T07:45:00Z,138.0,web-2
2026-01-02T07:50:00Z,135.7,web-1
2026-01-02T07:55:00Z,133.0,web-2
2026-01-02T08:00:00Z,131.1,web-1
2026-01-02T08:05:00Z,130.9,web-2
2026-01-02T08:10:00Z,132.3,web-1
2026-01-02T08:15:00Z,134.6,web-2
2026-01-02T08:20:00Z,136.4,web-1
2026-01-02T08:25:00Z,136.7,web-2
2026-01-02T08:30:00Z,135.0,web-1
2026-01-02T08:35:00Z,131.8,web-2
2026-01-02T08:40:00Z,128.2,web-1
2026-01-02T08:45:00Z,125.6,web-2
2026-01-02T08:50:00Z,124.6,web-1
2026-01-02T08:55:00Z,125.4,web-2
2026-01-02T09:00:00Z,127.0,web-1
2026-01-02T09:05:00Z,128.2,web-2
2026-01-02T09:10:00Z,127.8,web-1
2026-01-02T09:15:00Z,125.6,web-2
2026-01-02T09:20:00Z,121.9,web-1
2026-01-02T09:25:00Z,118.0,web-2
2026-01-02T09:30:00Z,115.1,web-1
2026-01-02T09:35:00Z,113.9,web-2
2026-01-02T09:40:00Z,114.6,web-1
2026-01-02T09:45:00Z,116.1,web-2
2026-01-02T09:50:00Z,117.2,web-1
2026-01-02T09:55:00Z,116.9,web-2
2026-01-02T10:00:00Z,298.4,web-1
2026-01-02T10:05:00Z,289.4,web-2
2026-01-02T10:10:00Z,280.0,web-1
2026-01-02T10:15:00Z,105.2,web-2
2026-01-02T10:20:00Z,104.5,web-1
2026-01-02T10:25:00Z,105.7,web-2
2026-01-02T10:30:00Z,107.7,web-1
2026-01-02T10:35:00Z,109.5,web-2
2026-01-02T10:40:00Z,109.8,web-1
2026-01-02T10:45:00Z,108.3,web-2
2026-01-02T10:50:00Z,105.6,web-1
2026-01-02T10:55:00Z,102.8,web-2
2026-01-02T11:00:00Z,101.2,web-1
2026-01-02T11:05:00Z,101.4,web-2
2026-01-02T11:10:00Z,103.5,web-1
2026-01-02T11:15:00Z,106.5,web-2
2026-01-02T11:20:00Z,109.1,web-1
2026-01-02T11:25:00Z,110.3,web-2
2026-01-02T11:30:00Z,109.7,web-1
2026-01-02T11:35:00Z,107.9,web-2
2026-01-02T11:40:00Z,106.0,web-1
2026-01-02T11:45:00Z,105.2,web-2
2026-01-02T11:50:00Z,106.3,web-1
2026-01-02T11:55:00Z,109.3,web-2
