time,cpu,host
2026-01-04T00:15:00Z,50.4,h4
2026-01-04T00:15:00Z,50.4,h5
2026-01-04T00:16:00Z,49.8,h1
2026-01-04T00:16:00Z,49.8,h2
2026-01-04T00:16:00Z,49.8,h3
2026-01-04T00:16:00Z,49.8,h4
2026-01-04T00:16:00Z,49.8,h5
2026-01-04T00:17:00Z,49.2,h1
2026-01-04T00:17:00Z,49.2,h2
2026-01-04T00:17:00Z,49.2,h3
2026-01-04T00:17:00Z,49.2,h4
2026-01-04T00:17:00Z,49.2,h5
2026-01-04T00:18:00Z,48.7,h1
2026-01-04T00:18:00Z,48.7,h2
2026-01-04T00:18:00Z,48.7,h3
2026-01-04T00:18:00Z,48.7,h4
2026-01-04T00:18:00Z,48.7,h5
2026-01-04T00:19:00Z,48.2,h1
2026-01-04T00:19:00Z,48.2,h2
2026-01-04T00:19:00Z,48.2,h3
2026-01-04T00:19:00Z,48.2,h4
2026-01-04T00:19:00Z,48.2,h5
2026-01-04T00:20:00Z,47.7,h1
2026-01-04T00:20:00Z,47.7,h2
2026-01-04T00:20:00Z,47.7,h3
2026-01-04T00:20:00Z,47.7,h4
2026-01-04T00:20:00Z,47.7,h5
2026-01-04T00:21:00Z,47.4,h1
2026-01-04T00:21:00Z,47.4,h2
2026-01-04T00:21:00Z,47.4,h3
2026-01-04T00:21:00Z,47.4,h4
2026-01-04T00:21:00Z,47.4,h5
2026-01-04T00:22:00Z,47.1,h1
2026-01-04T00:22:00Z,47.1,h2
2026-01-04T00:22:00Z,47.1,h3
2026-01-04T00:22:00Z,47.1,h4
2026-01-04T00:22:00Z,47.1,h5
2026-01-04T00:23:00Z,47.0,h1
2026-01-04T00:23:00Z,47.0,h2
2026-01-04T00:23:00Z,47.0,h3
2026-01-04T00:23:00Z,47.0,h4
2026-01-04T00:23:00Z,47.0,h5
2026-01-04T00:24:00Z,47.0,h1
2026-01-04T00:24:00Z,47.0,h2
2026-01-04T00:24:00Z,47.0,h3
2026-01-04T00:24:00Z,47.0,h4
2026-01-04T00:24:00Z,47.0,h5
2026-01-04T00:25:00Z,47.1,h1
2026-01-04T00:25:00Z,47.1,h2
2026-01-04T00:25:00Z,47.1,h3
2026-01-04T00:25:00Z,47.1,h4
2026-01-04T00:25:00Z,47.1,h5
2026-01-04T00:26:00Z,47.3,h1
2026-01-04T00:26:00Z,47.3,h2
2026-01-04T00:26:00Z,47.3,h3
2026-01-04T00:26:00Z,47.3,h4
2026-01-04T00:26:00Z,47.3,h5
2026-01-04T00:27:00Z,47.7,h1
2026-01-04T00:27:00Z,47.7,h2
2026-01-04T00:27:00Z,47.7,h3
2026-01-04T00:27:00Z,47.7,h4
2026-01-04T00:27:00Z,47.7,h5
2026-01-04T00:28:00Z,48.1,h1
2026-01-04T00:28:00Z,48.1,h2
2026-01-04T00:28:00Z,48.1,h3
2026-01-04T00:28:00Z,48.1,h4
2026-01-04T00:28:00Z,48.1,h5
2026-01-04T00:29:00Z,48.6,h1
2026-01-04T00:29:00Z,48.6,h2
2026-01-04T00:29:00Z,48.6,h3
2026-01-04T00:29:00Z,48.6,h4
2026-01-04T00:29:00Z,48.6,h5
2026-01-04T00:30:00Z,49.2,h1
2026-01-04T00:30:00Z,49.2,h2
2026-01-04T00:30:00Z,49.2,h3
2026-01-04T00:30:00Z,49.2,h4
2026-01-04T00:30:00Z,49.2,h5
2026-01-04T00:31:00Z,49.8,h1
2026-01-04T00:31:00Z,49.8,h2
2026-01-04T00:31:00Z,49.8,h3
2026-01-04T00:31:00Z,49.8,h4
2026-01-04T00:31:00Z,49.8,h5
2026-01-04T00:32:00Z,50.3,h1
2026-01-04T00:32:00Z,50.3,h2
2026-01-04T00:32:00Z,50.3,h3
2026-01-04T00:32:00Z,50.3,h4
2026-01-04T00:32:00Z,50.3,h5
2026-01-04T00:33:00Z,50.9,h1
2026-01-04T00:33:00Z,50.9,h2
2026-01-04T00:33:00Z,50.9,h3
2026-01-04T00:33:00Z,50.9,h4
2026-01-04T00:33:00Z,50.9,h5
2026-01-04T00:34:00Z,51.5,h1
2026-01-04T00:34:00Z,51.5,h2
2026-01-04T00:34:00Z,51.5,h3
2026-01-04T00:34:00Z,51.5,h4
2026-01-04T00:34:00Z,205.9,h5
2026-01-04T00:35:00Z,52.0,h1
2026-01-04T00:35:00Z,52.0,h2
2026-01-04T00:35:00Z,52.0,h3
2026-01-04T00:35:00Z,52.0,h4
2026-01-04T00:35:00Z,207.9,h5
2026-01-04T00:36:00Z,52.4,h1
2026-01-04T00:36:00Z,52.4,h2
2026-01-04T00:36:00Z,52.4,h3
2026-01-04T00:36:00Z,52.4,h4
2026-01-04T00:36:00Z,209.5,h5
2026-01-04T00:37:00Z,52.7,h1
2026-01-04T00:37:00Z,52.7,h2
2026-01-04T00:37:00Z,52.7,h3
2026-01-04T00:37:00Z,52.7,h4
2026-01-04T00:37:00Z,210.8,h5
2026-01-04T00:38:00Z,52.9,h1
2026-01-04T00:38:00Z,52.9,h2
2026-01-04T00:38:00Z,52.9,h3
2026-01-04T00:38:00Z,52.9,h4
2026-01-04T00:38:00Z,211.6,h5
2026-01-04T00:39:00Z,53.0,h1
2026-01-04T00:39:00Z,53.0,h2
2026-01-04T00:39:00Z,53.0,h3
2026-01-04T00:39:00Z,53.0,h4
2026-01-04T00:39:00Z,212.0,h5
