time,message,service
2026-01-03T00:23:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:23:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:23:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:23:00Z,cache hit for key user-77,cache
2026-01-03T00:23:00Z,cache hit for key user-77,cache
2026-01-03T00:24:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:24:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:24:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:24:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:24:00Z,cache hit for key user-77,cache
2026-01-03T00:24:00Z,cache hit for key user-77,cache
2026-01-03T00:25:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:25:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:25:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:25:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:25:00Z,cache hit for key user-77,cache
2026-01-03T00:25:00Z,cache hit for key user-77,cache
2026-01-03T00:26:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:26:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:26:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:26:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:26:00Z,cache hit for key user-77,cache
2026-01-03T00:26:00Z,cache hit for key user-77,cache
2026-01-03T00:27:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:27:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:27:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:27:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:27:00Z,cache hit for key user-77,cache
2026-01-03T00:27:00Z,cache hit for key user-77,cache
2026-01-03T00:28:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:28:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:28:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:28:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:28:00Z,cache hit for key user-77,cache
2026-01-03T00:28:00Z,cache hit for key user-77,cache
2026-01-03T00:29:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:29:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:29:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:29:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:29:00Z,cache hit for key user-77,cache
2026-01-03T00:29:00Z,cache hit for key user-77,cache
2026-01-03T00:30:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:30:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:30:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:30:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:30:00Z,cache hit for key user-77,cache
2026-01-03T00:30:00Z,cache hit for key user-77,cache
2026-01-03T00:31:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:31:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:31:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:31:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:31:00Z,cache hit for key user-77,cache
2026-01-03T00:31:00Z,cache hit for key user-77,cache
2026-01-03T00:32:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:32:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:32:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:32:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:32:00Z,cache hit for key user-77,cache
2026-01-03T00:32:00Z,cache hit for key user-77,cache
2026-01-03T00:33:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:33:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:33:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:33:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:33:00Z,cache hit for key user-77,cache
2026-01-03T00:33:00Z,cache hit for key user-77,cache
2026-01-03T00:34:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:34:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:34:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:34:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:34:00Z,cache hit for key user-77,cache
2026-01-03T00:34:00Z,cache hit for key user-77,cache
2026-01-03T00:35:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:35:00Z,cache hit for key user-77,cache
2026-01-03T00:35:00Z,cache hit for key user-77,cache
2026-01-03T00:36:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:36:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:36:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:36:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:36:00Z,cache hit for key user-77,cache
2026-01-03T00:36:00Z,cache hit for key user-77,cache
2026-01-03T00:37:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:37:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:37:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:37:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:37:00Z,cache hit for key user-77,cache
2026-01-03T00:37:00Z,cache hit for key user-77,cache
2026-01-03T00:38:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:38:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:38:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:38:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:38:00Z,cache hit for key user-77,cache
2026-01-03T00:38:00Z,cache hit for key user-77,cache
2026-01-03T00:39:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:39:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:39:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:39:00Z,GET /api/orders status 200 in 14 ms,web
2026-01-03T00:39:00Z,cache hit for key user-77,cache
2026-01-03T00:39:00Z,cache hit for key user-77,cache
2026-01-03T00:34:00Z,ERROR database connection refused to 10.2.3.4,web
2026-01-03T00:34:00Z,ERROR database connection refused to 10.2.3.4,web
2026-01-03T00:34:00Z,ERROR database connection refused to 10.2.3.4,web
2026-01-03T00:34:00Z,ERROR database connection refused to 10.2.3.4,web
2026-01-03T00:34:00Z,ERROR database connection refused to 10.2.3.4,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
2026-01-03T00:35:00Z,GET /api/orders status 200 in 9 ms,web
